sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
54,015;3805;;60s;Yes;No;3;0,47951;0,76917;0,09500;0,44943;1,97532;Agent11_Go@1705686720;RandomCounterOfferNegotiationParty@717499237;RandomCounterOfferNegotiationParty@888998354;0.7691666666666667;0.4795070919473937;0.7266499082506255;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,011;3756;;60s;Yes;No;3;0,34232;0,76250;0,18877;0,59723;1,71069;Agent11_Go@35471498;RandomCounterOfferNegotiationParty@1316496667;RandomCounterOfferNegotiationParty@835467228;0.7625000000000001;0.34231897040355896;0.60586886465464;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,028;4062;;60s;Yes;No;3;0,60280;0,73583;0,15504;0,34625;1,94974;RandomCounterOfferNegotiationParty@1645313270;Agent11_Go@1052511149;RandomCounterOfferNegotiationParty@732080904;0.7358333333333333;0.6028047772482096;0.6111021441474834;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,012;3308;;60s;Yes;No;3;0,63327;0,70933;0,17246;0,32727;1,98676;RandomCounterOfferNegotiationParty@1616235436;RandomCounterOfferNegotiationParty@548321949;Agent11_Go@2020252923;0.6441666666666667;0.6332670670857329;0.7093264692340479;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;3362;;60s;Yes;No;3;0,43852;0,78682;0,13742;0,50394;1,91534;RandomCounterOfferNegotiationParty@1251932669;RandomCounterOfferNegotiationParty@187594577;Agent11_Go@1709667501;0.6900000000000001;0.4385216876903081;0.7868177614525713;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,013;4243;;60s;Yes;No;3;0,57750;0,79323;0,12264;0,37826;1,99219;RandomCounterOfferNegotiationParty@1512460391;Agent11_Go@1849287699;RandomCounterOfferNegotiationParty@447534062;0.5775;0.6214571792016585;0.7932305984016935;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;3786;;60s;Yes;No;3;0,61849;0,85264;0,04831;0,36351;2,12280;Agent11_Go@2141668593;RandomCounterOfferNegotiationParty@1050635184;RandomCounterOfferNegotiationParty@1414991854;0.6516666666666667;0.618494862423481;0.8526382152990318;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,017;3677;;60s;Yes;No;3;0,36505;0,60750;0,32982;0,61200;1,53053;Agent11_Go@913540189;RandomCounterOfferNegotiationParty@1509364120;RandomCounterOfferNegotiationParty@1805926476;0.6075;0.3650546038620033;0.5579772495603951;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,007;4146;;60s;Yes;No;3;0,58833;0,74701;0,15266;0,32927;2,00146;RandomCounterOfferNegotiationParty@299928259;Agent11_Go@1668788871;RandomCounterOfferNegotiationParty@1198125077;0.5883333333333333;0.6661178808269137;0.747011016758939;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,004;3383;;60s;Yes;No;3;0,45281;0,86327;0,12520;0,57421;1,81442;RandomCounterOfferNegotiationParty@435189146;RandomCounterOfferNegotiationParty@2042158787;Agent11_Go@142122987;0.4983333333333333;0.45281472871027034;0.8632741979875149;party1_utility.xml;party2_utility.xml;party3_utility.xml
